model,n,top_k,observed_pct,observed_ci_low,observed_ci_high,never_observed_pct,final_topk_pct,final_topk_ci_low,final_topk_ci_high,dropout_pct,dropout_ci_low,dropout_ci_high,entered_then_disappeared_pct,entered_then_disappeared_ci_low,entered_then_disappeared_ci_high,mean_first_depth_observed,mean_persistent_depth_final
Qwen2.5-14B,817,5,0.627906976744186,0.5942361898206805,0.6603805790499746,0.37209302325581395,0.5556915544675642,0.5214378526929897,0.5894239940401662,0.18115055079559364,0.1562529602326025,0.20903251066877887,0.07221542227662178,0.056397110841103035,0.09203771480201713,0.887954840805718,0.9204754038179148
Qwen2.5-14B,817,10,0.7123623011015912,0.6803860439010562,0.7423508881473518,0.28763769889840884,0.6768665850673194,0.6440347223965509,0.7080430106351204,0.16768665850673195,0.14363750427194277,0.19484620148515913,0.03549571603427173,0.024826434020220715,0.050512668502137224,0.8722794959908362,0.9002411091018686
Qwen2.5-14B,817,20,0.7980416156670747,0.7691475164775258,0.8241461028526608,0.20195838433292534,0.7649938800489596,0.7347212904480545,0.7927861780734462,0.200734394124847,0.17469762395144828,0.22957223261433962,0.033047735618115054,0.022810284181978144,0.04765577013232897,0.8491820040899795,0.8800666666666666
Qwen2.5-14B,817,50,0.8763769889840881,0.8520296340623289,0.8972015279254838,0.12362301101591189,0.8604651162790697,0.8350139592173043,0.8825423894181781,0.22399020807833536,0.19673155284636742,0.2538322616959032,0.01591187270501836,0.009322215265440378,0.02703250159251104,0.8177956238361266,0.8550853485064012
Qwen2.5-14B,817,100,0.9118727050183598,0.8904568124142016,0.9294335485903478,0.08812729498164018,0.9033047735618115,0.8811114413569396,0.921723250919432,0.21664626682986537,0.18975907605046152,0.24618559386765668,0.008567931456548347,0.004156387247933211,0.01757918498586576,0.7962527964205817,0.8326275971093043
Qwen2.5-7B,817,1,0.2729498164014688,0.24351898753656673,0.30450579116672033,0.7270501835985312,0.19706242350061198,0.17123118695943473,0.22572909729427693,0.12239902080783353,0.10167557431654639,0.14665673959161546,0.07588739290085679,0.05964765366709632,0.09609674428810006,0.8798846893017297,0.9412156166814551
Qwen2.5-7B,817,3,0.4920440636474908,0.45788069667873504,0.5262818966450998,0.5079559363525092,0.40024479804161567,0.36719114707346917,0.43423213844846015,0.18482252141982863,0.15970307364960512,0.21289196956385248,0.09179926560587515,0.07386462984089365,0.11355458146663303,0.8496801705756929,0.9047619047619047
Qwen2.5-7B,817,5,0.5752753977968176,0.5411062292737416,0.6087400031238208,0.4247246022031824,0.5091799265605875,0.474937793738177,0.5433361370420137,0.19216646266829865,0.16661493429844035,0.22059925353916968,0.06609547123623011,0.05100888281932621,0.08524332230366692,0.8360942249240122,0.8900240384615384
Qwen2.5-7B,817,10,0.6891064871481029,0.6565449998684867,0.7198979742034388,0.31089351285189715,0.6474908200734394,0.6141103977935184,0.679490756741543,0.18849449204406366,0.1631570940649035,0.21674752146063034,0.0416156670746634,0.02993139261500371,0.05759033042748126,0.8235219487439737,0.8760464488252768
Qwen2.5-7B,817,20,0.7686658506731946,0.7385337034846511,0.7962833373489258,0.2313341493268054,0.7466340269277846,0.715703347489158,0.7752562594719615,0.21664626682986537,0.18975907605046152,0.24618559386765668,0.022031823745410038,0.013980877213879214,0.03455646016419924,0.8001023657870792,0.8593676814988289
