model,layer_number,normalized_depth,top10_prevalence,median_target_rank,raw_dropout_pct,masked_dropout_pct,dropout_reduction_pct,raw_persistent_depth,masked_persistent_depth
Llama-3.1-8B,28,0.875,0.3463892288861689,33.0,0.15177478580171358,0.13586291309669524,0.015911872705018343,0.8647610921501706,0.8650277303754266
Llama-3.1-8B,29,0.90625,0.3402692778457772,34.0,0.15177478580171358,0.13953488372093023,0.01223990208078335,0.8647610921501706,0.8643877986348123
Llama-3.1-8B,30,0.9375,0.3818849449204406,20.0,0.15177478580171358,0.1481028151774786,0.0036719706242349937,0.8647610921501706,0.8650277303754266
Llama-3.1-8B,31,0.96875,0.5324357405140759,8.0,0.15177478580171358,0.14320685434516525,0.008567931456548328,0.8647610921501706,0.8704138225255973
Llama-3.1-8B,32,1.0,0.7172582619339045,3.0,0.15177478580171358,0.14320685434516525,0.008567931456548328,0.8647610921501706,0.816882183908046
Mistral-7B,1,0.03125,0.0,11786.0,0.18482252141982863,0.18482252141982863,0.0,0.8345720720720721,0.8345720720720721
Mistral-7B,2,0.0625,0.0,11683.0,0.18482252141982863,0.18482252141982863,0.0,0.8345720720720721,0.8345720720720721
Mistral-7B,3,0.09375,0.0024479804161566705,9778.0,0.18482252141982863,0.18482252141982863,0.0,0.8345720720720721,0.8345720720720721
Mistral-7B,4,0.125,0.0036719706242350062,6786.0,0.18482252141982863,0.18482252141982863,0.0,0.8345720720720721,0.8345720720720721
Mistral-7B,5,0.15625,0.0,11064.0,0.18482252141982863,0.18482252141982863,0.0,0.8345720720720721,0.8345720720720721
Mistral-7B,6,0.1875,0.0,9369.0,0.18482252141982863,0.18482252141982863,0.0,0.8345720720720721,0.8345720720720721
Mistral-7B,7,0.21875,0.0,9972.0,0.18482252141982863,0.18482252141982863,0.0,0.8345720720720721,0.8345720720720721
Mistral-7B,8,0.25,0.0,11961.0,0.18482252141982863,0.18482252141982863,0.0,0.8345720720720721,0.8345720720720721
Mistral-7B,9,0.28125,0.0,10883.0,0.18482252141982863,0.18482252141982863,0.0,0.8345720720720721,0.8345720720720721
Mistral-7B,10,0.3125,0.01835985312117503,12810.0,0.18482252141982863,0.1701346389228886,0.01468788249694003,0.8345720720720721,0.8345720720720721
Mistral-7B,11,0.34375,0.0024479804161566705,14054.0,0.18482252141982863,0.18482252141982863,0.0,0.8345720720720721,0.8345720720720721
Mistral-7B,12,0.375,0.0,11185.0,0.18482252141982863,0.18482252141982863,0.0,0.8345720720720721,0.8345720720720721
Mistral-7B,13,0.40625,0.0,9400.0,0.18482252141982863,0.18482252141982863,0.0,0.8345720720720721,0.8345720720720721
Mistral-7B,14,0.4375,0.011015911872705019,9681.0,0.18482252141982863,0.1835985312117503,0.0012239902080783405,0.8345720720720721,0.8347972972972973
Mistral-7B,15,0.46875,0.012239902080783354,6661.0,0.18482252141982863,0.1835985312117503,0.0012239902080783405,0.8345720720720721,0.8344031531531532
Mistral-7B,16,0.5,0.06976744186046512,1773.0,0.18482252141982863,0.1835985312117503,0.0012239902080783405,0.8345720720720721,0.8369369369369369
Mistral-7B,17,0.53125,0.11383108935128519,1399.0,0.18482252141982863,0.17135862913096694,0.01346389228886169,0.8345720720720721,0.8347972972972973
Mistral-7B,18,0.5625,0.09057527539779682,1243.0,0.18482252141982863,0.1799265605875153,0.004895960832313334,0.8345720720720721,0.8344594594594594
Mistral-7B,19,0.59375,0.10648714810281518,562.0,0.18482252141982863,0.17870257037943696,0.006119951040391675,0.8345720720720721,0.8349099099099099
Mistral-7B,20,0.625,0.1346389228886169,213.0,0.18482252141982863,0.17503059975520197,0.009791921664626668,0.8345720720720721,0.8350225225225225
Mistral-7B,21,0.65625,0.17503059975520197,128.0,0.18482252141982863,0.18115055079559364,0.0036719706242349937,0.8345720720720721,0.8356418918918919
Mistral-7B,22,0.6875,0.19706242350061198,82.0,0.18482252141982863,0.18115055079559364,0.0036719706242349937,0.8345720720720721,0.8353040540540541
Mistral-7B,23,0.71875,0.21909424724602203,75.0,0.18482252141982863,0.17747858017135862,0.007343941248470015,0.8345720720720721,0.8348536036036036
Mistral-7B,24,0.75,0.22276621787025705,71.0,0.18482252141982863,0.18237454100367198,0.002447980416156653,0.8345720720720721,0.8349662162162163
Mistral-7B,25,0.78125,0.23623011015911874,62.0,0.18482252141982863,0.1799265605875153,0.004895960832313334,0.8345720720720721,0.834740990990991
Mistral-7B,26,0.8125,0.2607099143206854,55.0,0.18482252141982863,0.18115055079559364,0.0036719706242349937,0.8345720720720721,0.8354166666666667
